year,Zip Code,Number of Crimes,Crime Rate
2009,78610,9,0.0059529715249528724
2009,78613,461,0.30492443033369715
2009,78617,1096,0.7249396434831498
2009,78641,4,0.0026457651222012765
2009,78652,33,0.02182756225816053
2009,78653,110,0.0727585408605351
2009,78660,355,0.2348116545953633
2009,78664,16,0.010583060488805106
2009,78681,12,0.00793729536660383
2009,78701,11898,7.869828355987697
2009,78702,9043,5.981413500016536
2009,78703,2405,1.5907662797235176
2009,78704,10003,6.616397129344842
2009,78705,4212,2.7859906736779445
2009,78712,29,0.019181797135959255
2009,78717,752,0.49740384297384005
2009,78719,622,0.4114164765022985
2009,78721,3162,2.091477329100109
2009,78722,1486,0.9829017428977743
2009,78723,7802,5.16056487085359
2009,78724,2501,1.654264642656348
2009,78725,227,0.15014717068492245
2009,78726,882,0.5833912094453815
2009,78727,2450,1.6205311373482818
2009,78728,94,0.062175480371730006
2009,78729,1445,0.9557826503952112
2009,78730,175,0.11575222409630585
2009,78731,1911,1.26401428713166
2009,78732,16,0.010583060488805106
2009,78733,13,0.008598736647154149
2009,78734,10,0.006614412805503192
2009,78735,1025,0.6779773125640771
2009,78736,251,0.1660217614181301
2009,78737,21,0.013890266891556702
2009,78738,4,0.0026457651222012765
2009,78739,377,0.24936336276747034
2009,78741,14077,9.311108906306842
2009,78742,214,0.1415484340377683
2009,78744,8369,5.5356020769256205
2009,78745,10383,6.867744815953963
2009,78746,1802,1.191917187551675
2009,78747,864,0.5714852663954758
2009,78748,4534,2.998974766015147
2009,78749,2799,1.8513741442603433
2009,78750,1957,1.2944405860369745
2009,78751,4143,2.7403512253199724
2009,78752,5328,3.524159142772101
2009,78753,11166,7.385653338624863
2009,78754,1549,1.0245725435724444
2009,78756,1160,0.7672718854383702
2009,78757,3586,2.371928432053444
2009,78758,9900,6.54826867744816
2009,78759,4442,2.9381221682045178
2010,78610,8,0.0054665719127535125
2010,78613,454,0.3102279560487618
2010,78617,1132,0.773519925654622
2010,78641,3,0.002049964467282567
2010,78652,29,0.01981632318373148
2010,78653,117,0.07994861422402011
2010,78660,350,0.23916252118296616
2010,78664,12,0.008199857869130267
2010,78681,7,0.004783250423659323
2010,78701,10172,6.950746187066091
2010,78702,8649,5.9100475591756405
2010,78703,2177,1.4875908817580494
2010,78704,9821,6.71090034439403
2010,78705,3960,2.705953096812989
2010,78712,34,0.02323293062920243
2010,78717,768,0.5247909036243371
2010,78719,566,0.386759962827311
2010,78721,3220,2.2002951948832887
2010,78722,1366,0.9334171541026621
2010,78723,6918,4.727218061553599
2010,78724,2330,1.5921390695894604
2010,78725,219,0.14964740611162738
2010,78726,764,0.5220576176679604
2010,78727,2407,1.644754824249713
2010,78728,71,0.04851582572568742
2010,78729,1396,0.953916798775488
2010,78730,178,0.12163122505876565
2010,78731,1786,1.2204121795222216
2010,78732,18,0.012299786803695402
2010,78733,13,0.008883179358224457
2010,78734,5,0.003416607445470945
2010,78735,943,0.6443721642158203
2010,78736,282,0.1926966599245613
2010,78737,11,0.00751653638003608
2010,78738,3,0.002049964467282567
2010,78739,374,0.2555622369212267
2010,78741,13939,9.5248182364839
2010,78742,202,0.13803094079702619
2010,78744,8366,5.716667577761986
2010,78745,9717,6.6398349095282345
2010,78746,1853,1.2661947192915322
2010,78747,861,0.5883398021100968
2010,78748,4585,3.1330290274968564
2010,78749,2791,1.9071502760618815
2010,78750,1897,1.2962608648116765
2010,78751,4191,2.8638003607937463
2010,78752,4936,3.372874870168917
2010,78753,11762,8.03722735472585
2010,78754,1437,0.9819329798283496
2010,78756,1121,0.7660033892745859
2010,78757,3621,2.4743071120100586
2010,78758,10456,7.144809489968841
2010,78759,4046,2.764718744875089
2011,78610,7,0.005145772380434303
2011,78613,449,0.33006454268785745
2011,78617,1094,0.8042107120278754
2011,78652,33,0.02425864122204743
2011,78653,97,0.07130570298601821
2011,78660,303,0.22273843303879912
2011,78664,10,0.007351103400620433
2011,78681,4,0.002940441360248173
2011,78701,10312,7.58045782671979
2011,78702,7868,5.7838481556081565
2011,78703,2223,1.6341502859579222
2011,78704,9303,6.838731493597189
2011,78705,3413,2.5089315906317537
2011,78712,24,0.017642648161489038
2011,78717,692,0.508696355322934
2011,78719,586,0.4307746592763574
2011,78721,2710,1.9921490215681372
2011,78722,1189,0.8740461943337694
2011,78723,7576,5.569195936310041
2011,78724,2226,1.6363556169781084
2011,78725,256,0.18818824705588308
2011,78726,702,0.5160474587235544
2011,78727,2081,1.5297646176691122
2011,78728,90,0.0661599306055839
2011,78729,1757,1.2915888674890101
2011,78730,162,0.11908787509005102
2011,78731,1597,1.1739712130790831
2011,78732,18,0.013231986121116781
2011,78733,11,0.008086213740682477
2011,78734,6,0.0044106620403722594
2011,78735,851,0.6255788993927989
2011,78736,287,0.21097666759780642
2011,78737,11,0.008086213740682477
2011,78738,4,0.002940441360248173
2011,78739,318,0.23376508813972977
2011,78741,12621,9.277827601923049
2011,78742,177,0.13011453019098168
2011,78744,7501,5.514062660805387
2011,78745,8518,6.261669876648485
2011,78746,1614,1.186468088860138
2011,78747,795,0.5844127203493245
2011,78748,4198,3.085993207580458
2011,78749,2298,1.6892835614625754
2011,78750,1607,1.1813223164797038
2011,78751,4242,3.1183380625431876
2011,78752,4897,3.599835335283826
2011,78753,10596,7.789229163297411
2011,78754,1451,1.0666451034300248
2011,78756,1031,0.7578987606039667
2011,78757,3538,2.600820383139509
2011,78758,8900,6.542482026552185
2011,78759,3780,2.778717085434524
2012,78610,2,0.0014983742639236427
2012,78613,458,0.3431277064385142
2012,78617,1036,0.776157868712447
2012,78641,2,0.0014983742639236427
2012,78652,58,0.04345285365378564
2012,78653,84,0.062931719084793
2012,78660,314,0.23524475943601195
2012,78664,9,0.0067426841876563936
2012,78681,6,0.004495122791770929
2012,78701,9982,7.478385951242901
2012,78702,7801,5.844408816434169
2012,78703,2185,1.63697388333658
2012,78704,8957,6.710469140982034
2012,78705,3103,2.324727670477532
2012,78712,26,0.019478865431007356
2012,78717,608,0.4555057762327874
2012,78719,629,0.4712387060039857
2012,78721,2642,1.9793524026431322
2012,78722,1116,0.8360928392693928
2012,78723,7270,5.446590449362441
2012,78724,2371,1.7763226898814786
2012,78725,185,0.13859961941293697
2012,78726,644,0.48247651298341304
